Use Case Type;Packet Loss Budget;Latency Budget (ns);Jitter Budget (ns);Data Rate Budget (Gbps);Required Mobility;Required Connectivity;Slice Available Transfer Rate (Gbps);Slice Latency (ns);Slice Packet Loss;Slice Jitter (ns);Slice Type;Slice Handover
V2X;1,00E-09;1000000;0;0;yes;no;4857.868507305369;1919520.9461569765;0.00028354375944811445;1569741.386881501;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;3559.338066141858;2183330.107973572;0.00025029500780524233;2572312.4773641913;umMTC;no
VR/AR;1,00E-05;0;0;1000;no;no;3424.0085877306465;1424801.5911205777;0.0006052904565377925;1211218.8300394826;feMBB;yes
Servo motors;1,00E-07;100;1000;0;no;no;4187.333576114451;2701775.480743209;0.0004029495997292626;2057165.859341;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;5265.943159946907;2945500.348982339;0.0005661705530001011;1377174.8102327697;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;5532.941080002612;1838525.7850747914;0.0003809916142503214;2651193.9196211426;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;6540.8893804708505;2714572.076057791;0.0004877956192175656;2539761.2332570856;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;3695.538061048881;1539882.8940209425;0.0004435319274675906;2019905.4458290958;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;7319.449674168115;1309248.9544293396;0.0007622424348802479;3932346.9157142527;MBRLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;9534.965547155096;2720404.7917418717;0.00042061227277377016;1505145.8569777145;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;4300.6593773356935;2177450.9927737336;0.000640364519700706;2298202.213873613;MBRLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;2055.4912447493084;2261647.0293179923;0.00026718523874700494;2369655.063774899;ERLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;2098.159552963753;3227078.0866758674;0.0007256499659909364;2159165.71536572;mURLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;4172.55952004988;2444264.9379074015;0.0006382200324375285;1814999.9990814046;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;3843.7533468253823;3601521.672444791;0.00040206221127657177;2074553.2685062946;MBRLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;5009.063744801495;2062083.5864907235;0.0003995053599306601;3186555.7480211873;MBRLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;5847.557248442098;3007708.442128282;0.0006987371325377281;2031391.1829872513;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;2857.248089544795;1965935.8022445554;0.0006551344786090766;2435342.6163811707;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;4714.65616544449;1230845.7076284927;0.0004606657415119058;928984.625533957;feMBB;yes
Servo motors;1,00E-07;100;1000;0;no;no;4157.285863025636;2554732.2729519424;0.0003567101283759591;1903436.3674924942;ERLLC;yes
Smart Home;0.0;0;0;0;no;yes;8392.74566114882;1975433.8140117486;0.0006793152250068627;3524019.349578437;umMTC;no
Servo motors;1,00E-07;100;1000;0;no;no;2698.0924040804066;3382760.148097798;0.00042135879616106404;1665273.25983478;ERLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;3735.9274121107837;2375898.5601810147;0.0005559243065222404;1630107.9838668632;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;5056.381160611113;2634513.3978497004;0.00040502401630738077;3158309.694942765;umMTC;no
VR/AR;1,00E-05;0;0;1000;no;no;3747.133148464251;954406.3379293231;0.0004633884552360071;1594593.6011713117;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;6888.836994678104;2483355.895421878;0.0008173750061683269;1515487.5884925225;MBRLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;3300.8787503738217;1952928.0415741191;0.0004872371814688569;2469201.392884546;feMBB;yes
Smart Home;0.0;0;0;0;no;yes;3474.181701920604;1482612.507123353;0.0007397506202888432;3586515.9960461906;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;7032.545925568035;2936351.615447332;0.0002463158281364784;2613386.475526266;feMBB;yes
Motion control;1,00E-06;1000;1000000;0;no;no;3015.8527668377965;1138181.0509917159;0.0002111178900395577;2047051.931303533;ERLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;6391.34318202577;2236704.824770885;0.0005971645144419069;2896284.5623266846;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;4246.292398416386;1590518.5397569053;0.0003717924423772759;1872903.4475100567;MBRLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;3970.036305702347;2182334.9692874094;0.0004960667955067965;1666056.1261802195;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;4154.178379192808;1813542.0919892997;0.00014674581757650567;2999301.7897105613;mURLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;3133.1096314135357;1879607.7228873675;0.0001613099663368939;2883932.6975875604;ERLLC;yes
Smart Home;0.0;0;0;0;no;yes;6512.122893526389;2038467.7450341862;0.0005023766989234546;1760346.6901518188;umMTC;no
V2X;1,00E-09;1000000;0;0;yes;no;5227.255663521792;1360531.0045410565;0.00041926219263849234;2693636.3693788256;MBRLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;6485.289779093244;2684785.5764907664;0.0004441468868389169;2868916.4622144215;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;6960.883873612651;2443868.479334657;0.0007780426370610691;1898615.6893715553;umMTC;no
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5902.121308030064;1341454.2801600113;0.0005793668666953507;2110006.7288458953;mURLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;2579.4489993895354;2940977.3277602457;0.0008574719869587287;1209733.7187163662;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;3385.185820637631;2507332.7808479695;0.0005126300590255221;1991955.5760949054;umMTC;no
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;6418.54789627315;2067960.2501991992;0.0007491704367075667;1607981.156031555;mURLLC;yes
Smart Home;0.0;0;0;0;no;yes;5092.997800760028;1052513.0947396902;0.0006639019752299462;1863480.1354131063;umMTC;no
V2X;1,00E-09;1000000;0;0;yes;no;6084.357125409146;1569783.9399918313;0.0004157440581577688;1123521.3314552666;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;4852.300599295783;741825.6791107224;0.0004712116489821243;2875422.2085654247;MBRLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;4284.4149715721815;2119938.092235405;0.00044087943126905143;2722995.482277902;ERLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;6086.480930746791;2564519.6905539474;0.0006790650531148251;2874554.6566452086;feMBB;yes
Motion control;1,00E-06;1000;1000000;0;no;no;2121.7463626424615;1517729.1480259676;0.0005460124845123299;2026187.0373332324;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;4467.662626802156;2003922.7736510455;0.0003467417313511932;1792423.5572536925;ERLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5111.282969169819;2661707.4972346574;0.0002854229286532872;2203009.8133441866;mURLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;5348.286190475308;1584265.230485248;0.00029114786737958174;2247376.871772477;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;2843.2206119193493;2371722.076636885;0.0003507250682754222;2995798.6114364937;umMTC;no
Smart City;0.0;0;0;0;no;yes;2912.1856522386724;3403030.8271402186;0.00034192763744699055;2122877.291130705;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;4345.312893635428;2490783.321473614;0.0002988391093805507;2077003.2947823722;feMBB;yes
Servo motors;1,00E-07;100;1000;0;no;no;4895.90486287059;1312582.619303464;0.0006869358405487682;2533112.0934811253;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;7592.005178774741;1983249.5561756901;0.0002449242204250946;760256.7248310845;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;3537.346755830148;2482643.357056154;0.0005675532207574175;2994418.953470546;feMBB;yes
VR/AR;1,00E-05;0;0;1000;no;no;4178.685645330705;2333218.06551594;0.0008800359333751408;2506030.117926932;feMBB;yes
Smart Home;0.0;0;0;0;no;yes;7652.736132192848;1284869.2408354064;0.0005145096539004717;2308982.230597135;umMTC;no
V2X;1,00E-09;1000000;0;0;yes;no;6773.801920847554;2292301.3547045635;0.0005150498637028418;2425874.9643505253;MBRLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;3144.0223065978644;1858467.1350031628;0.0005379818048644908;2622252.098361066;MBRLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;6126.1318261607385;1696491.3720536393;0.00025387941319812544;3769966.1347263767;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;6387.699601938114;2368789.332274261;0.0005722201079403728;1763614.2351969478;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;5326.724202158308;3175820.832819528;0.0005558740237046816;2772007.6048617866;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;3045.3706502756227;1502760.6405210695;0.0004932149849255573;2293402.909444771;MBRLLC;yes
Smart City;0.0;0;0;0;no;yes;4008.091928289793;2301776.5474624783;0.00021845588438721753;1493747.1476568046;umMTC;no
Smart Home;0.0;0;0;0;no;yes;3954.001515922399;1946288.9165101;0.0008155628179995786;2775176.796459932;umMTC;no
V2X;1,00E-09;1000000;0;0;yes;no;5881.926861518004;2406615.9538409202;0.0005395599410991873;2252726.341379715;MBRLLC;yes
Smart City;0.0;0;0;0;no;yes;4284.844411868968;2071387.9218919284;0.0002962325219538331;2267787.9324904475;umMTC;no
Smart City;0.0;0;0;0;no;yes;4559.211329392285;1615040.0179433888;0.0003325444275010215;2175414.998908709;umMTC;no
V2X;1,00E-09;1000000;0;0;yes;no;3997.2761138082997;1589140.0243227198;0.00037044113626235204;2324923.3046077224;MBRLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;2403.341658581831;2307590.0504928282;0.0007646113803344833;2592288.3053273465;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;9325.228239611642;2086837.0003872425;0.00047936067450877795;1737251.4603655804;mURLLC;yes
Smart City;0.0;0;0;0;no;yes;5671.752237877618;2414052.5588105354;0.00047942008322435345;1981214.652884652;umMTC;no
V2X;1,00E-09;1000000;0;0;yes;no;7453.609762501081;935926.8207020797;0.0004116899968301459;2732472.830042971;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;3141.3441093442016;2728574.523008088;0.0006709140960344343;1380578.4529952388;mURLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;7531.437757280437;2943712.242083166;0.0006796520156693057;2736972.969715114;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;4339.776389944662;2101277.8110334566;0.00024779566350983934;2032830.0017617068;MBRLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;5884.202642690374;2440357.787308024;0.00048324399514792723;2734014.464797672;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;6653.251768530907;2650797.441197899;0.00046409718255846017;2393066.072445737;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;7518.487643991309;1879552.9559434152;0.0003410158626258495;1741230.4803405306;umMTC;no
Smart City;0.0;0;0;0;no;yes;4923.209271071846;2154668.5415474474;0.0004030241595223053;1740115.4954273654;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;3326.75754585053;2323576.636347057;0.0004513734358741736;1576044.1837853652;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;4975.879251565149;1651120.857851611;0.0003320218993872648;1265187.1207434945;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;5985.481266857518;2091572.170390949;0.0005487495129705651;2113269.2522253306;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;4107.455515322334;653677.5999848247;0.0005451199242572233;2166999.2730456917;MBRLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;4295.388125250832;1583415.7778109843;0.0005862852721869201;2454278.026835841;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;2420.302552596799;2976545.537560611;0.00042201680331694844;1853065.174479792;mURLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;3370.3877791425675;2257579.7680436927;0.0001417503776927943;2435501.094833345;mURLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;5740.9236445790575;1469163.4922779533;0.00038102056208783557;2778383.2089828444;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;6470.257234317821;1177467.625711918;0.0003246891182666146;3297337.856119334;umMTC;no
Smart Home;0.0;0;0;0;no;yes;6836.576482271368;3681691.211327263;0.00047174912921012967;1457376.3672879227;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;8793.378480008276;1532259.341351016;0.0005954328221455264;2913955.097751671;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;7480.523796729096;1668270.9454019538;0.0008149919941704967;2302297.1711279657;MBRLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;4747.157026189784;2399462.250440337;0.0003490155280334796;2254665.5122735025;ERLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;3441.1928734341927;1446080.4311118997;0.0005212947333979147;1818752.2606949054;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;4573.63317534728;2250859.0005826456;0.000529115530713455;2852627.5793091943;feMBB;yes
VR/AR;1,00E-05;0;0;1000;no;no;4081.9927733821255;2018871.4849309996;0.0007400382823720545;2255350.587700913;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;5276.944147100979;1218152.1852380685;0.0005366579247256523;1236214.1549327448;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;6485.256466151224;2033374.126619524;0.0004393267816584621;920967.8508383543;MBRLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;5800.029810902114;2217486.252631777;0.0004929140473963716;2111305.416476888;MBRLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;7626.8295120336;1295225.1297944225;0.000557981727245705;2399100.8528287066;ERLLC;yes
Smart Home;0.0;0;0;0;no;yes;5659.643972202934;2347308.815258271;0.0006231476064891455;1628479.2910281152;umMTC;no
Delivery drones;1,00E-06;1000000;0;0;yes;no;2874.7160302789553;2464677.610413773;0.000783605886489337;1837943.023545787;MBRLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;4050.6082485324964;1318244.4973513745;0.0007666034642799008;2766223.6562032565;feMBB;yes
VR/AR;1,00E-05;0;0;1000;no;no;5671.391549880745;2323582.335598714;0.00037285529734259516;1855907.515857158;feMBB;yes
Smart Home;0.0;0;0;0;no;yes;5381.578004419487;2153253.9704594105;0.00024930452649953787;2400309.467473619;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;7180.702672967764;1770893.430984423;0.0002918440621179736;1723820.4907443288;ERLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;5012.229060439663;1827205.0668246544;0.0005400122376608388;2834295.0855843644;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;4706.52471716767;2263036.286435936;0.0006878077624678394;2289453.4124626284;MBRLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;2377.457891018419;1606277.1925054183;0.00045935802979758756;2154564.862935909;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;3656.096270903653;2385543.4513530405;0.0003401908739834134;2992606.0107070794;umMTC;no
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5515.068860376643;1465328.6301483172;0.00025568100946630416;1115925.2538384928;mURLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;5349.888133092101;1514006.982850205;0.0007642777691980447;2507087.2172298883;feMBB;yes
Smart City;0.0;0;0;0;no;yes;5991.878359582199;1142884.145746449;0.0004191515021215205;1051395.2711673148;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;5751.391514143301;853404.2754515104;0.00024284685720347136;2166229.284945833;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;4811.569069450144;2100758.7292528604;0.0004956478015775274;2140116.840217038;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;3331.1754475894713;696268.456111378;0.0005005765757959304;2337084.2155910805;feMBB;yes
Motion control;1,00E-06;1000;1000000;0;no;no;5001.453581696192;2218054.530711766;0.0006474698147885027;958428.6853846193;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;4926.765156557621;1943442.3012200533;0.00030110863828217653;2266282.2137119602;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;7286.640870461947;3257419.299413261;0.000693841620980234;2922231.3875384023;umMTC;no
VR/AR;1,00E-05;0;0;1000;no;no;7213.923160050483;2404900.5341566806;0.0007194616692406384;1700435.5018190676;feMBB;yes
Smart Home;0.0;0;0;0;no;yes;4202.614196250293;2340227.3594183135;0.0005153929889636305;1659041.0384940521;umMTC;no
Delivery drones;1,00E-06;1000000;0;0;yes;no;3964.067216344327;1551376.925203951;0.0006010415210428775;1760601.5660675399;MBRLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;2744.5852176431144;1623791.8907586895;0.000635370184058381;2661316.9978319136;MBRLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;4725.714254369358;1719539.8111150437;0.0003999657047016648;1567360.6390371015;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;4210.233715491517;1976398.5580133062;0.00026865131193793844;1856949.2841758695;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;9345.609773346489;1610619.6478923173;0.00040183553219969904;2639974.2723828135;MBRLLC;yes
Smart City;0.0;0;0;0;no;yes;3141.7202958832304;2380365.36765384;0.00020710010190351687;1555680.5102463285;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;5098.125217269129;1740401.5720846837;0.0005787890818172252;2744853.416774054;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;3929.1726285746845;2743543.0712216804;0.0007665378527834791;1729939.4823087384;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5041.524324311215;1452144.7056131624;0.0003567113774504846;2004948.2198208547;mURLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;4444.895274176938;2497440.575188464;0.00042302139928004527;2674015.4408332147;feMBB;yes
Servo motors;1,00E-07;100;1000;0;no;no;6352.859786293574;3286936.3801818695;0.0004579857961692363;2653321.2158555947;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;5734.290149359678;3178762.6176034836;0.0008438651637834057;1819705.7993532498;ERLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;6297.145478846587;1426997.966901326;0.0004242446969897017;1489492.1778675178;feMBB;yes
Servo motors;1,00E-07;100;1000;0;no;no;3747.286155823196;2768298.2251134124;0.0006865148121326785;3030332.8921005963;ERLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;6799.158783508708;518971.6943526084;0.000506023079468337;1938154.4821609505;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;4197.746448354131;962533.7440900316;0.0;2371071.6805851194;mURLLC;no
Motion control;1,00E-06;1000;1000000;0;no;no;2656.989200214908;2400466.466204616;0.00041644519703817813;2547918.7503375956;ERLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;4697.379664451313;2291674.518196547;0.0006465525026009657;1595870.6060916835;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;5189.423651657328;2401259.844353062;0.00041738402433101135;1200645.619192529;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;2917.806093775378;1675742.133695746;0.0005853714424608968;2473179.1827921346;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;6456.347155886986;1256131.3792586331;0.000788817239928966;1128399.19330433;MBRLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;3648.7016597823763;794820.2602679373;0.0005863013280189894;1410248.139521989;ERLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;3577.3792756884277;1425645.059035814;0.00039411828314663873;2505204.075790324;mURLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;5000.431929629456;2433511.216261679;0.0006184835593476591;2324205.5576598602;ERLLC;yes
Smart Home;0.0;0;0;0;no;yes;6429.196767128411;2573556.7404168057;0.0005812770456457929;2293580.146709186;umMTC;no
VR/AR;1,00E-05;0;0;1000;no;no;2974.3304665559344;2197681.1873370013;0.0006617810593317049;1728308.2780885715;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;6568.057013442273;2130681.5054839766;0.00048451994748076647;2878101.8585735974;mURLLC;yes
Smart City;0.0;0;0;0;no;yes;1401.915678754417;3128762.086274443;0.0003651903857989707;1447924.7101669074;umMTC;no
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5551.558163404304;2937737.538820998;0.0005896372006032446;709155.0276897536;mURLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;3117.864667662946;2629271.76736189;0.0005948666090299965;901413.2032317792;MBRLLC;yes
Smart City;0.0;0;0;0;no;yes;3669.715393344906;2770594.5811058055;0.0004115236397047425;2119649.606500214;umMTC;no
V2X;1,00E-09;1000000;0;0;yes;no;7896.689545898358;2232980.625464893;0.00024287019813487018;2004814.2887058763;MBRLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;3353.7269752562397;2318874.132620312;0.000423874801992216;2511151.002014044;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;4906.770037679939;1484676.3603303367;0.00030388532943615993;2444825.8558824067;ERLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;3222.8259393997578;2253063.2684777547;0.0004551598179768626;1984181.4799404002;MBRLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;6282.353161879973;1569461.291710716;0.0006295979047598952;1104093.202516647;ERLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;5682.003121040439;2827018.2907334184;0.00016590538131860846;1642872.5224785912;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;5916.74480430732;2416652.8619555654;0.0005517167116133032;1692521.6472377174;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;6885.09378601985;1714673.6057147502;0.0005686336328662531;3078955.8931751554;feMBB;yes
Servo motors;1,00E-07;100;1000;0;no;no;4437.54001471416;2468019.7301199706;0.0003459644832207675;1936227.9402424002;ERLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;6791.166865076761;2747916.827289368;0.0005580261906066482;2685084.7509134007;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;7483.428485569772;1419008.5997969194;0.000694980425689571;2139762.894258498;MBRLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;5474.528156328969;1828624.6077598953;0.0005720548638028358;1951586.1794590645;feMBB;yes
VR/AR;1,00E-05;0;0;1000;no;no;3156.8783399314443;1352016.5034059728;0.0008428654344299811;1689995.0162827768;feMBB;yes
Motion control;1,00E-06;1000;1000000;0;no;no;2992.437886598349;1973539.1386488185;0.0005138694404332317;2347886.71411308;ERLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;5737.549005561882;2889815.0911497474;0.0006671839338669043;1324889.24856847;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;3155.8097658599936;2000409.5146016052;0.0008387831769591267;1980542.8154044175;MBRLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;2761.7292500921253;2387123.3990234574;0.0005846710362992439;2073978.3511373724;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;6473.256062628645;1636215.0217793463;0.0007921850857539363;2133757.5160996807;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;4235.91371678024;2566677.1045731325;0.0005760938820340959;1442310.9221094497;ERLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;9032.430360768694;1957832.2571330513;0.0007427728967664157;1744573.3425078723;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;3904.833421982089;2508490.5811711606;0.00031371644366111253;2209177.563330258;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;4171.651803239539;2578536.2690053955;0.0005102353389798606;2151101.5098518594;MBRLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;5599.126298299088;1296943.460928442;0.0009117505231667636;2837984.934656201;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;5341.407664868321;1544303.8516019778;0.00019664443084236417;1865391.7756040432;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;4860.205245842498;1725362.955494122;0.0003716624132400665;1216064.1127887506;umMTC;no
Smart Home;0.0;0;0;0;no;yes;4820.579606367391;3183527.976375738;0.0008624639491433052;1690884.5816123825;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;10000.0;2905113.261072542;0.0004821147916168095;1302699.2043257314;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;7768.174633880437;2066775.4730046194;0.000481924542204759;3052435.9974171896;mURLLC;yes
Smart City;0.0;0;0;0;no;yes;6406.2323612840155;3826648.362936599;0.0006526504504865216;2536975.0483857;umMTC;no
VR/AR;1,00E-05;0;0;1000;no;no;2958.3372396736786;1126027.8173517836;0.0007089467597120368;2239682.572670057;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;4877.327782012826;1842855.0959574617;0.000438436213929149;2265437.4344895035;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;6101.297057707835;2783437.3399906564;0.00022653353307729054;1950927.4241007336;umMTC;no
Delivery drones;1,00E-06;1000000;0;0;yes;no;6247.407155447892;2029452.5650499503;0.00034551706868994343;1093652.3547844565;MBRLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;7129.6327032907375;1434340.018191746;0.0004065082132330297;1710662.4227104126;ERLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;3932.0188048754044;2265175.226575042;0.0003041505126915998;400792.581349842;mURLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;4936.27987588698;3783933.8737020213;0.0003565351637166744;2463675.8565231073;feMBB;yes
Smart City;0.0;0;0;0;no;yes;3742.2676931285096;1442833.9504460832;0.0005015197929212209;2091662.7519672594;umMTC;no
Smart Home;0.0;0;0;0;no;yes;7224.85563941435;1512118.2338732267;0.0003585504808558285;2051670.7824654286;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;6165.095337712789;1282917.523745601;0.0007942865657355725;1522052.31340734;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;4155.013800911003;1720181.656296718;0.0004326486378066403;1934536.7198125597;mURLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;5375.2590143493235;2721844.794481622;0.0002452220529848261;2402495.656460526;ERLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;5084.340618841278;3045070.033920214;0.0006957021709453176;2263866.158107679;feMBB;yes
Smart Home;0.0;0;0;0;no;yes;3534.093308084206;1156357.7774832873;0.001;1272131.504023685;umMTC;no
Servo motors;1,00E-07;100;1000;0;no;no;6550.622020431185;2405863.8002108606;0.00044498731813383285;1538257.6824483667;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;5128.779549017104;2515792.0371072413;0.0005427625209017756;2444230.4913349748;umMTC;no
V2X;1,00E-09;1000000;0;0;yes;no;4118.388018340839;1545085.3272423695;0.0007172691885146123;1822724.8647875402;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;3505.4671815022716;2494593.700994025;0.00043714151455659774;3207222.329479604;mURLLC;yes
